question,answer,detailed,
"I need my colleagues help to debug my code. When he runs the application on his machine, it's working fine, whereas I get API authorisation exceptions. What should I do?

    a) Send him my AWS access key and secret key so he can replicate the issue on his machine
    b) Ask him to send me his credentials so I can start working
    c) Compare his IAM policy and my IAM policy in the policy simulator to understand the differences
    d) Ask him to create an EC2 server and puts his credentials there so I can run the application from the EC2 Instance",c,correct,

"To get the instance id of my EC2 machine from the EC2 machine, the best thing is to...

    a) Create an IAM role and attach it to my EC2 instance so I can perform a 'describe' API call
    b) Query the user data at http://169.254.169.254/latest/user-data
    c) Query the meta data at http://169.254.169.254/latest/meta-data
    d) Query the meta data at http://254.169.254.169/latest/meta-data",c,correct,

"You have enabled versioning and want to be extra careful when it comes to deleting files on S3. What should you enable to prevent accidental permanent deletions?

    a) Use a bucket policy
    b) Enable MFA Delete
    c) Encrypt the files
    d) Disable versioning",b,MFA Delete forces users to use MFA tokens before deleting objects. It's an extra level of security to prevent accidental deletes,

"You would like all your files in S3 to be encrypted by default. What is the optimal way of achieving this?

    a) Use a Bucket Policy that forces HTTPS connections
    b) Enable 'Default Encryption' on S3
    c) Enable Versioning",b,correct,

"You suspect some of your employees to try to access files in S3 that they don't have access to. How can you verify this is indeed the case without them noticing?

    a) Restrict their IAM policies and look at CloudTrail logs
    b) Enable S3 Access Logs and analyze them using Athena
    c) Use a bucket policy",b,"S3 Access Logs log all the requests made to buckets, and Athena can then be used to run serverless analytics on top of the logs files",

"You are looking for your entire S3 bucket to be available fully in a different region so you can perform data analysis optimally at the lowest possible cost. Which feature should you use?

    a) CloudFront distributions
    b) S3 Cross Region Replication
    c) S3 versioning
    d) S3 Websites",b,S3 CRR is used to replicate data from an S3 bucket to another one in a different region,

"You are looking to provide temporary URLs to a growing list of federated users in order to allow them to perform a file upload on S3 to a specific location. What should you use?

    a) S3 CORS
    b) S3 Pre-Signed URL
    c) S3 Bucket Policies
    d) IAM Users",b,Pre-Signed URL are temporary and grant time-limited access to some actions in your S3 bucket.,

"How can you automate the transition of S3 objects between their different tiers?

    a) Use AWS Lambda
    b) Use CloudWatch Events
    c) Use S3 Lifecycle Rules",c,Good Job!,

"Which of the following is NOT a Glacier retrieval mode?

    a) Instant (10 seconds)
    b) Expedited (1 to 5 minutes)
    c) Standard (3 to 5 hours)
    d) Bulk (5 to 12 hours)",a,correct,

"Which of the following is a Serverless data analysis service allowing you to query data in S3?

    a) S3 Analytics
    b) Athena
    c) Redshift
    d) RDS",b,correct,

"You are looking to build an index of your files in S3, using Amazon RDS PostgreSQL. To build this index, it is necessary to read the first 250 bytes of each object in S3, which contains some metadata about the content of the file itself. There is over 100,000 files in your S3 bucket, amounting to 50TB of data. how can you build this index efficiently?

    a) Use the RDS Import feature to load the data from S3 to PostgreSQL, and run a SQL query to build the index
    b) Create an application that will traverse the S3 bucket, read all the files one by one, extract the first 250 bytes, and store that information in RDS.
    c) Create an application that will traverse the S3 bucket, issue a Byte Range Fetch for the first 250 bytes, and store that information in RDS.
    d) Create an application that will traverse the S3 bucket, use S3 select to get the first 250 bytes, and store that information in RDS.",c,correct,

"Which features allows us to distribute paid content from S3 securely, globally, if the S3 bucket is secured to only exchange data with CloudFront?

    a) Origin Access Identity
    b) S3 Pre-Signed URL
    c) CloudFront Signed URL
    d) CloudFront Distribution Invalidations",c,CloudFront Signed URL are commonly used to distribute paid content through dynamic CloudFront Signed URL generation.,

"You are hosting highly dynamic content in Amazon S3 in us-east-1. Recently, there has been a need to make that data available with low latency in Singapore. What do you recommend using?

    a) CloudFront
    b) S3 Cross Region Replication
    c) S3 Pre-Signed URLs",b,S3 CRR allows you to replicate the data from one bucket in a region to another bucket in another region,

"How can you ensure that only users who access our website through Canada are authorized in CloudFront?

    a) Set up a security group and attach it to CloudFront
    b) Use a Route 53 Latency record and attach it to CloudFront
    c) Use CloudFront Geo Restriction",c,Good Job!,

"You would like to provide your users access to hundreds of private files in your CloudFront distribution, which is fronting an HTTP web server behind an application load balancer. What should you use?

    a) CloudFront Signed URL
    b) CloudFront Signed Cookies
    c) CloudFront Origin Access Identity
    d) CloudFront HTTPS encryption",b,Allows you to access many files,

"You are creating an application that is going to expose an HTTP REST API. There is a need to provide request routing rules at the HTTP level. Due to security requirements, your application can only be exposed through the use of two static IPs. How can you create a solution that validates these requirements?

    a) Use Global Accelerator and an Application Load Balancer
    b) Use a Network Load Balancer and attach Elastic IPs to it
    c) Use an Application Load Balancer and attach Elastic IPs to it
    d) Use CloudFront with Elastic IP and an Application Load Balancer",a,"Global Accelerator will provide us with the two static IP, and the ALB will provide use with the HTTP routing rules",

"What does this S3 bucket policy do?

 {
   ''Version'':''2012-10-17'',
   ''Id'':''Mystery policy'',
   ''Statement'':[
     {
       ''Sid'':''What could it be?'',
       ''Effect'':''Allow'',
       ''Principal'':{''CanonicalUser'':''CloudFront Origin Identity Canonical User ID''},
       ''Action'':''s3:GetObject'',
       ''Resource'':''arn:aws:s3:::examplebucket/*''
     }
   ]
}

    a) Forces GetObject request to be encrypted if coming from CloudFront
    b) Only allows the S3 bucket content to be accessed from your CloudFront distribution origin identity
    c) Only allows GetObject type of request on the S3 bucket from anybody",b,Correct!

